Number	1		2		3		4		5		6		7		8		9		10	
	Day 19	Single	Day 19	In a relationship	Day 19	Married	Day 19	Married	Day 19	Not enough info	Day 19	Married	Day 19	Married	Day 19	In a relationship	Day 19	In a relationship	Day 19	Married
	Day 20	Single	Day 20	In a relationship	Day 20	Married	Day 20	Married	Day 20	Not enough info	Day 20	Married	Day 20	Not enough info	Day 20	In a relationship	Day 20	In a relationship	Day 20	Married
	Day 21	Single	Day 21	In a relationship	Day 21	Married	Day 21	Not enough info	Day 21	Not enough info	Day 21	Married	Day 21	Not enough info	Day 21	In a relationship	Day 21	In a relationship	Day 21	Not enough info
	Day 22	Single	Day 22	In a relationship	Day 22	Not enough info	Day 22	Not enough info	Day 22	Not enough info	Day 22	Not enough info	Day 22	Not enough info	Day 22	In a relationship	Day 22	In a relationship	Day 22	Not enough info
	Day 23	Not enough info	Day 23	In a relationship	Day 23	Not enough info	Day 23	Not enough info	Day 23	Not enough info	Day 23	Not enough info	Day 23	Not enough info	Day 23	In a relationship	Day 23	In a relationship	Day 23	Not enough info
	Day 24	Not enough info	Day 24	In a relationship	Day 24	Not enough info	Day 24	Not enough info	Day 24	Not enough info	Day 24	Not enough info	Day 24	Not enough info	Day 24	In a relationship	Day 24	In a relationship	Day 24	Not enough info
	Day 25	Not enough info	Day 25	In a relationship	Day 25	Not enough info	Day 25	Not enough info	Day 25	Not enough info	Day 25	Not enough info	Day 25	Not enough info	Day 25	In a relationship	Day 25	In a relationship	Day 25	Not enough info
	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	In a relationship	Day 26	Not enough info	Day 26	Not enough info
	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	In a relationship	Day 27	Not enough info	Day 27	Not enough info
	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	In a relationship	Day 28	Not enough info	Day 28	Not enough info
	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	In a relationship	Day 29	Not enough info	Day 29	Not enough info
	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	In a relationship	Day 30	Not enough info	Day 30	Not enough info
	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	In a relationship	Day 31	Not enough info	Day 31	Not enough info
	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	In a relationship	Day 32	Not enough info	Day 32	Not enough info
	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	In a relationship	Day 33	Not enough info	Day 33	Not enough info
	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	In a relationship	Day 34	Not enough info	Day 34	Not enough info
	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	In a relationship	Day 35	Not enough info	Day 35	Not enough info
	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	In a relationship	Day 36	Not enough info	Day 36	Not enough info
	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	In a relationship	Day 37	Not enough info	Day 37	Not enough info
	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	In a relationship	Day 38	Not enough info	Day 38	Not enough info
	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	In a relationship	Day 39	Not enough info	Day 39	Not enough info
	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	In a relationship	Day 40	Not enough info	Day 40	Not enough info
	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	In a relationship	Day 41	Not enough info	Day 41	Not enough info
	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	In a relationship	Day 42	Not enough info	Day 42	Not enough info
	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	In a relationship	Day 43	Not enough info	Day 43	Not enough info
