Number	1		2		3		4		5		6		7		8		9		10	
	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Bachelor's degree	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info
	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info
	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info
	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info
	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info
	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info
	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info
	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info
	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info
	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info
	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info
	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info
	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info
	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info
	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info
	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info
	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info
