Number	1		2		3		4		5		6		7		8		9		10	
	Day 29	Not enough info	Day 29	Not enough info	Day 29	Renters	Day 29	Not enough info	Day 29	Renters	Day 29	Not enough info	Day 29	Renters	Day 29	Not enough info	Day 29	Not enough info	Day 29	Renters
	Day 30	Not enough info	Day 30	Not enough info	Day 30	Renters	Day 30	Not enough info	Day 30	Renters	Day 30	Not enough info	Day 30	Renters	Day 30	Not enough info	Day 30	Not enough info	Day 30	Renters
	Day 31	Not enough info	Day 31	Not enough info	Day 31	Renters	Day 31	Not enough info	Day 31	Renters	Day 31	Not enough info	Day 31	Renters	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info
	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Renters	Day 32	Not enough info	Day 32	Renters	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info
	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Renters	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info
	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Renters	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info
	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Renters	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info
	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Renters	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info
	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Renters	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info
	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Renters	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info
	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Renters	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info
	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Renters	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info
	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Renters	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info
	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info
	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info
