Number	1		2		3		4		5		6		7		8		9		10	
Initial Label	Not parents		Not parents		Not parents		Not parents		Not parents		Not parents		Not parents		Not parents		Not parents		Not parents	
	Time_1	Label_1	Time_2	Label_2	Time_3	Label_3	Time_4	Label_4	Time_5	Label_5	Time_6	Label_6	Time_7	Label_7	Time_8	Label_8	Time_9	Label_9	Time_10	Label_10
	Day 30	Not parents	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info
	Day 31	Not parents	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info
	Day 32	Not parents	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info
	Day 33	Not parents	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info
	Day 34	Not parents	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info
	Day 35	Not parents	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info
	Day 36	Not parents	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info
	Day 37	Not parents	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info
	Day 38	Not parents	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info
	Day 39	Not parents	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info
	Day 40	Not parents	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info
	Day 41	Not parents	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info
	Day 42	Not parents	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info
	Day 43	Not parents	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info
